Gene	annotation	synonym
b1065	multidrug efflux pump MdtH	mdtH
b1066	ribosomal-protein-S5-alanine N-acetyltransferase	rimJ
b1067	DUF480 domain-containing protein YceH	yceH
b1068	putative oxidoreductase YceM	yceM
b1069	putative lipid II flippase MurJ	murJ
b1070	flagellar biosynthesis protein FlgN	flgN
b1071	anti-sigma factor for FliA (sigma(28))	flgM
b1072	flagellar basal body P-ring formation protein FlgA	flgA
b1073	flagellar basal-body rod protein FlgB	flgB
b1074	flagellar basal-body rod protein FlgC	flgC
b1075	flagellar biosynthesis%2C initiation of hook assembly	flgD
b1076	flagellar hook protein FlgE	flgE
b1077	flagellar basal-body rod protein FlgF	flgF
b1078	flagellar basal-body rod protein FlgG	flgG
b1079	flagellar L-ring protein	flgH
b1080	flagellar P-ring protein	flgI
b1081	putative peptidoglycan hydrolase FlgJ	flgJ
b1082	flagellar hook-filament junction protein 1	flgK
b1083	flagellar hook-filament junction protein 2	flgL
b1084	ribonuclease E	rne
b1085	DUF2655 domain-containing protein YceQ	yceQ
b1086	23S rRNA pseudouridine(955/2504/2580) synthase	rluC
b1087	m(7)GTP pyrophosphatase	yceF
b1088	DUF177 domain-containing protein YceD	yceD
b1089	50S ribosomal subunit protein L32	rpmF
b1090	putative phosphate acyltransferase	plsX
b1091	beta-ketoacyl-[acyl carrier protein] synthase III	fabH
b1092	[acyl-carrier-protein] S-malonyltransferase	fabD
b1093	3-oxoacyl-[acyl-carrier-protein] reductase FabG	fabG
b1094	acyl carrier protein	acpP
b1095	beta-ketoacyl-[acyl carrier protein] synthase II	fabF
b1096	aminodeoxychorismate lyase	pabC
b1097	endolytic murein transglycosylase	mltG
b1098	hypothetical protein	tmk
b1099	DNA polymerase III subunit delta'	holB
b1100	putative metal-dependent hydrolase YcfH	ycfH
b1101	glucose-specific PTS enzyme IIBC component	ptsG
b1102	ferric coprogen/ferric rhodotorulic acid outer membrane transporter	fhuE
b1103	purine nucleoside phosphoramidase	hinT
b1104	DUF1425 domain-containing protein YcfL	ycfL
b1105	outer membrane lipoprotein - activator of MrcB activity	lpoB
b1106	thiamine kinase	thiK
b1107	beta-N-acetylhexosaminidase	nagZ
b1108	UPF0227 protein YcfP	ycfP
b1109	NADH:quinone oxidoreductase II	ndh
b1110	PF05433 family protein YcfJ	ycfJ
b1111	DNA-binding transcriptional repressor ComR	comR
b1112	DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA	bhsA
b1113	L%2CD-transpeptidase YcfS	ldtC
b1114	transcription-repair coupling factor	mfd
b1115	inner membrane protein YcfT	ycfT
b1116	lipoprotein release complex - inner membrane subunit	lolC
b1117	lipoprotein release complex - ATP binding subunit	lolD
b1118	lipoprotein release complex - inner membrane subunit	lolE
b1119	N-acetyl-D-glucosamine kinase	nagK
b1120	protein-lysine deacetylase/desuccinylase	cobB
b1121	putative inner membrane protein	ycfZ
b1122	putative inner membrane protein	ymfA
b1123	spermidine preferential ABC transporter periplasmic binding protein	potD
b1124	spermidine preferential ABC transporter membrane subunit PotC	potC
b1125	spermidine preferential ABC transporter membrane subunit PotB	potB
b1126	spermidine preferential ABC transporter ATP binding subunit	potA
b1127	peptidase T	pepT
b1128	ribosomal protein-arginine oxygenase	roxA
b1129	sensory histidine kinase PhoQ	phoQ
b1130	DNA-binding transcriptional dual regulator PhoP	phoP
b1131	adenylosuccinate lyase	purB
b1132	lysogenization regulator	hflD
b1133	tRNA-specific 2-thiouridylase	mnmA
b1134	phosphatase NudJ	nudJ
b1135	23S rRNA pseudouridine(2457) synthase	rluE
b1136	isocitrate dehydrogenase	icd
b1137	e14 prophage%3B putative SAM-dependent methyltransferase	ymfD
b1138	e14 prophage%3B uncharacterized protein YmfE	ymfE
b1139	e14 prophage%3B cell death peptidase Lit	lit
b1140	e14 prophage%3B putative integrase	intE
b1141	e14 prophage%3B putative excisionase	xisE
b1142	e14 prophage%3B protein YmfH	ymfH
b1143	e14 prophage%3B protein YmfI	ymfI
b1144	e14 prophage%3B protein YmfJ	ymfJ
b1145	e14 prophage%3B putative repressor protein YmfK	ymfK
b1146	e14 prophage%3B putative DNA-binding transcriptional regulator YmfT	ymfT
b1147	e14 prophage%3B uncharacterized protein YmfL	ymfL
b1148	e14 prophage%3B protein YmfM	ymfM
b1149	e14 prophage%3B chimeric replication protein/phage terminase YmfN	ymfN
b4692	phage replication protein	oweE
b4693	phage terminase	aaaE
b1150	e14 prophage%3B protein YmfR	ymfR
b1151	e14 prophage%3B putative protein BeeE	beeE
b1152	e14 prophage%3B putative protein JayE	jayE
b1153	e14 prophage%3B conserved protein YmfQ	ymfQ
b1154	e14 prophage%3B protein StfP	ycfK
b1155	e14 prophage%3B putative tail fiber assembly protein TfaP	tfaP
b1156	e14 prophage%3B putative tail fiber assembly protein TfaE	tfaE
b1157	e14 prophage%3B putative side tail fiber protein fragment	stfE
b1158	e14 prophage%3B site-specific DNA recombinase	pinE
b1159	e14 prophage%3B 5-methylcytosine-specific restriction enzyme McrA	mcrA
b4519	protein IcdC	icdC
b1160	anti-adaptor protein IraM%2C inhibitor of sigma(S) proteolysis	iraM
b4738	protein YmgK	ymgK
b4739	protein YmgL	ymgL
b1161	uncharacterized protein YcgX	ycgX
b1162	DNA-binding transcriptional repressor BluR	bluR
b1163	blue light-responsive regulator of BluR	bluF
b1164	putative two-component system connector protein YcgZ	ycgZ
b1165	putative two-component system connector protein YmgA	ymgA
b1166	regulator of acid resistance%2C influenced by indole	ariR
b1167	protein YmgC	ymgC
b1168	putative c-di-GMP phosphodiesterase PdeG	pdeG
b4520	inner membrane protein that interacts with cell division proteins	ymgF
b4491	putative transporter component%2C N-terminal fragment	ycgH
b1171	PF16456 family protein YmgD	ymgD
b1172	PF13488 family protein YmgG	ymgG
b4593	uncharacterized protein YmgI	ymgI
b4594	uncharacterized protein YmgJ	ymgJ
b4521	protein YcgI	ycgI
b1174	Z-ring positioning protein MinE	minE
b1175	Z-ring positioning protein MinD	minD
b1176	Z-ring positioning protein MinC	minC
b1177	PF05666 family protein YcgJ	ycgJ
b1178	inhibitor of g-type lysozyme	pliG
b1179	PF05166 family protein YcgL	ycgL
b1180	putative isomerase/hydrolase	ycgM
b1181	PF03693 family protein YcgN	ycgN
b1182	hemolysin E	hlyE
b1183	DNA polymerase V protein UmuD	umuD
b1184	DNA polymerase V catalytic protein	umuC
b1185	protein thiol:quinone oxidoreductase DsbB	dsbB
b1186	Na(+):H(+) antiporter NhaB	nhaB
b1187	DNA-binding transcriptional dual regulator FadR	fadR
b1188	PF04293 family protein YcgB	ycgB
b1189	D-amino acid dehydrogenase	dadA
b1190	alanine racemase 2	dadX
b4740	protein YmgM	ymgM
b1191	putative K(+):H(+) antiporter	cvrA
b1192	murein L%2CD-carboxypeptidase	ldcA
b1193	lytic murein transglycosylase E	emtA
b1194	flagellar brake protein YcgR	ycgR
b1195	PF04226 family protein YmgE	ymgE
b1196	uncharacterized protein YcgY	ycgY
b1197	periplasmic trehalase	treA
b1198	dihydroxyacetone kinase subunit M	dhaM
b1199	dihydroxyacetone kinase subunit L	dhaL
b1200	dihydroxyacetone kinase subunit K	dhaK
b1201	DNA-binding transcriptional dual regulator DhaR	dhaR
b1202	putative autotransporter adhesin YcgV	ycgV
b1203	redox-responsive ATPase YchF	ychF
b1204	peptidyl-tRNA hydrolase	pth
b1205	stress-induced protein	ychH
b1206	aerobic C4-dicarboxylate transporter DauA	dauA
b1207	ribose-phosphate diphosphokinase	prs
b1208	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	ispE
b1209	outer membrane lipoprotein LolB	lolB
b1210	glutamyl-tRNA reductase	hemA
b1211	peptide chain release factor RF1	prfA
b1212	protein-(glutamine-N(5)) methyltransferase	prmC
b1213	SirB family protein YchQ	ychQ
b1214	transglutaminase-like/TPR repeat-containing protein	ychA
b1215	3-deoxy-D-manno-octulosonate 8-phosphate synthase	kdsA
b4419	small toxic polypeptide LdrA	ldrA
b4421	small toxic polypeptide LdrB	ldrB
b4423	small toxic polypeptide LdrC	ldrC
b1216	Na(+)/K(+):H(+) antiporter ChaA	chaA
b1217	putative cation transport regulator ChaB	chaB
b1218	glutathione-specific gamma-glutamylcyclotransferase	chaC
b1219	DsrE/F sulfur relay family protein YchN	ychN
b1220	putative invasin YchO	ychO
b1221	DNA-binding transcriptional dual regulator NarL	narL
b1222	sensory histidine kinase NarX	narX
b1223	nitrate:nitrite antiporter NarK	narK
b1224	nitrate reductase A subunit alpha	narG
b1225	nitrate reductase A subunit beta	narH
b1226	nitrate reductase 1 molybdenum cofactor assembly chaperone	narJ
b1227	nitrate reductase A subunit gamma	narI
b1228	putative uncharacterized protein YchS	ychS
b1229	protamine-like protein	tpr
b1232	formyltetrahydrofolate deformylase	purU
b1233	NTF2-like domain-containing protein YchJ	ychJ
b1234	putative patatin-like phospholipase RssA	rssA
b1235	regulator of RpoS	rssB
b1236	UTP--glucose-1-phosphate uridylyltransferase	galU
b1237	DNA-binding transcriptional dual regulator H-NS	hns
b1238	thymidine/deoxyuridine kinase	tdk
b4573	putative transposase InsZ	insZ
b1241	aldehyde-alcohol dehydrogenase	adhE
b1242	putative inner membrane protein	ychE
b4711	IS5 transposase and trans-activator	insH21
b1243	oligopeptide ABC transporter periplasmic binding protein	oppA
b1244	murein tripeptide ABC transporter/oligopeptide ABC transporter inner membrane subunit OppB	oppB
b1245	murein tripeptide ABC transporter/oligopeptide ABC transporter inner membrane subunit OppC	oppC
b1246	murein tripeptide ABC transporter/oligopeptide ABC transporter ATP binding subunit OppD	oppD
b1247	murein tripeptide ABC transporter/oligopeptide ABC transporter ATP binding subunit OppF	oppF
b1248	DUF440 domain-containing protein YciU	yciU
b1249	cardiolipin synthase A	clsA
b4595	uncharacterized protein YciY	yciY
b1250	K(+) channel Kch	kch
b1251	protein YciI	yciI
b1252	Ton complex subunit TonB	tonB
b1253	acyl-CoA thioesterase	yciA
b1254	inner membrane protein	yciB
b1255	putative inner membrane protein	yciC
b1256	outer membrane protein W	ompW
b1257	DUF892 domain-containing protein YciE	yciE
b1258	DUF892 domain-containing protein YciF	yciF
b1259	protein YciG	yciG
b1260	tryptophan synthase subunit alpha	trpA
b1261	tryptophan synthase subunit beta	trpB
b1262	fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase	trpC
b1263	anthranilate synthase subunit TrpD	trpD
b1264	anthranilate synthase subunit TrpE	trpE
b1265	trp operon leader peptide	trpL
b1266	RNA/ssDNA 5'->3' exonuclease	yciV
b1267	putative RNA-binding protein YciO	yciO
b1268	DUF2207 domain-containing protein YciQ	yciQ
b1269	23S rRNA pseudouridine(2605) synthase	rluB
b1270	cobinamide/cobalamin adenosyltransferase	btuR
b1271	putative oxidoreductase	yciK
b1272	S49 peptidase family protein	sohB
b1273	protein YciN	yciN
b1274	DNA topoisomerase 1	topA
b1275	DNA-binding transcriptional dual regulator CysB	cysB
b4522	uncharacterized protein YmiA	ymiA
b4523	uncharacterized protein YciX	yciX
b4741	protein YmiC	ymiC
b1276	aconitate hydratase 1	acnA
b1277	GTP cyclohydrolase 2	ribA
b1278	phosphatidylglycerophosphatase B	pgpB
b1279	lipopolysaccharide assembly protein A	lapA
b1280	lipopolysaccharide assembly protein B	lapB
b1281	orotidine-5'-phosphate decarboxylase	pyrF
b1282	putative translation factor	yciH
b1283	osmotically-inducible lipoprotein OsmB	osmB
b1284	putative DNA-binding transcriptional regulator YciT	yciT
b4596	UPF0509 protein YciZ	yciZ
b1285	cyclic di-GMP phosphodiesterase PdeR	pdeR
b4672	putative protein YmiB	ymiB
b1286	RNase II	rnb
b1287	putative oxidoreductase	yciW
b1288	enoyl-[acyl-carrier-protein] reductase	fabI
b1289	DUF559 domain-containing protein YcjD	ycjD
b1290	putrescine ABC exporter ATP binding protein SapF	sapF
b1291	putrescine ABC exporter ATP binding protein SapD	sapD
b1292	putrescine ABC exporter membrane protein SapC	sapC
b1293	putrescine ABC exporter membrane subunit SapB	sapB
b1294	putative periplasmic binding protein SapA	sapA
b1295	DUF2543 domain-containing protein YmjA	ymjA
b1296	putrescine:H(+) symporter PuuP	puuP
b4742	protein YmjE	ymjE
b1297	glutamate-putrescine ligase	puuA
b1298	gamma-glutamyl-gamma-aminobutyrate hydrolase	puuD
b1299	DNA-binding transcriptional repressor PuuR	puuR
b1300	gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase	puuC
b1301	gamma-glutamylputrescine oxidase	puuB
b1302	4-aminobutyrate aminotransferase PuuE	puuE
b1303	DNA-binding transcriptional dual regulator PspF	pspF
b1304	phage shock protein A	pspA
b1305	phage shock protein B	pspB
b1306	phage shock protein C	pspC
b1307	phage shock protein D	pspD
b1308	thiosulfate sulfurtransferase PspE	pspE
b1309	glucosylglycerate phosphorylase	ycjM
b1310	putative ABC transporter periplasmic binding protein YcjN	ycjN
b1311	putative ABC transporter membrane subunit YcjO	ycjO
b1312	putative ABC transporter membrane subunit YcjP	ycjP
b1313	putative zinc-binding dehydrogenase YcjQ	ycjQ
b1314	putative ketohexose-3-epimerase YcjR	ycjR
b1315	putative oxidoreductase YcjS	ycjS
b1316	kojibiose phosphorylase	ycjT
b1317	beta-phosphoglucomutase	ycjU
b1318	putative ABC transporter ATP-binding protein YcjV	ycjV
b4524	hypothetical protein	ymjB
b1319	outer membrane porin G	ompG
b1320	putative LacI-type DNA-binding transcriptional regulator YcjW	ycjW
b1321	DUF463 domain-containing protein YcjX	ycjX
b1322	conserved inner membrane protein YcjF	ycjF
b1323	DNA-binding transcriptional dual regulator TyrR	tyrR
b1324	lipid hydroperoxide peroxidase	tpx
b1325	L-Ala-D/L-Glu epimerase	ycjG
b1326	murein tripeptide amidase A	mpaA
b4525	putative uncharacterized protein YmjC	ymjC
b4673	uncharacterized protein YmjD	ymjD
b1327	putative hydrolase YcjY	ycjY
b1328	DNA-binding transcriptional repressor PgrR	pgrR
b1329	murein tripeptide ABC transporter periplasmic binding protein	mppA
b1330	small conductance mechanosensitive channel YnaI	ynaI
b1331	IS5 transposase and trans-activator	insH-4
b1332	DUF2534 domain-containing protein YnaJ	ynaJ
b1333	universal stress protein with a role cellular motility	uspE
b1334	DNA-binding transcriptional dual regulator FNR	fnr
b1335	methylated-DNA--[protein]-cysteine S-methyltransferase	ogt
b1336	p-aminobenzoyl glutamate:H(+) symporter	abgT
b1337	p-aminobenzoyl-glutamate hydrolase subunit B	abgB
b1338	p-aminobenzoyl-glutamate hydrolase subunit A	abgA
b1339	putative LysR-type DNA-binding transcriptional regulator AbgR	abgR
b1340	DNA endonuclease SmrA	smrA
b1341	diguanylate cyclase DgcM	dgcM
b1342	Zn(2(+)):H(+) symporter	zntB
b4743	protein YnaL	ynaL
b1343	ATP-dependent RNA helicase DbpA	dbpA
b1344	tRNA cytosine(32) 2-sulfurtransferase TtcA	ttcA
b1345	Rac prophage%3B putative integrase	intR
b1346	Rac prophage%3B excisionase	xisR
b1347	Rac prophage%3B double-strand break reduction protein	rcbA
b1348	Rac prophage%3B endodeoxyribonuclease toxin RalR	ralR
b1349	Rac prophage%3B recombinase%2C DNA renaturation	recT
b1350	Rac prophage%3B exonuclease VIII%2C ds DNA exonuclease%2C 5' --> 3' specific	recE
b1351	Rac prophage%3B protein RacC	racC
b4526	Rac prophage%3B zinc-binding protein	ydaE
b1352	Rac prophage%3B inhibitor of FtsZ%2C killing protein	kilR
b1353	Rac prophage%3B phage superinfection exclusion protein	sieB
b4527	Rac prophage%3B DUF1391 domain-containing protein YdaF	ydaF
b1355	Rac prophage%3B uncharacterized protein YdaG	ydaG
b1356	Rac prophage%3B DNA-binding transcriptional repressor RacR	racR
b1357	Rac prophage%3B toxin YdaS	ydaS
b1358	Rac prophage%3B protein YdaT	ydaT
b1359	Rac prophage%3B DUF1376 domain-containing protein YdaU	ydaU
b1360	Rac prophage%3B putative ATP-binding protein YdaV	ydaV
b1361	Rac prophage%3B putative uncharacterized protein YdaW	ydaW
b1362	Rac prophage%3B putative endopeptidase RzpR	rzpR
b4528	Rac prophage%3B putative lipoprotein	rzoR
b1363	Rac prophage%3B K(+) transporter TrkG	trkG
b1365	Rac prophage%3B ParB-like nuclease domain-containing protein YnaK	ynaK
b1366	Rac prophage%3B putative uncharacterized protein YdaY	ydaY
b1368	Rac prophage%3B putative prophage tail length tape measure domain-containing protein YnaA	ynaA
b4570	Rac prophage%3B protein LomR_1	lomR
b1370	Rac prophage%3B IS5 transposase and trans-activator	insH-5
b1372	Rac prophage%3B putative membrane protein	stfR
b1373	Rac prophage%3B putative tail fiber assembly protein TfaR	tfaR
b1374	Rac prophage%3B putative site-specific recombinase	pinR
b1375	Rac prophage%3B uncharacterized protein YnaE	ynaE
b4744	Rac prophage%3B protein YnaM	ynaM
b4638	putative tRNA 2-thiocytidine (s(2)C32) synthase	ttcC
b1376	nucleotide binding filament protein	uspF
b1377	outer membrane porin N	ompN
b1378	putative pyruvate-flavodoxin oxidoreductase	ydbK
b4529	DUF333 domain-containing protein YdbJ	ydbJ
b1379	lipoprotein implicated in Novobiocin resistance	hslJ
b1380	D-lactate dehydrogenase	ldhA
b1381	PF11739 family protein YdbH	ydbH
b1382	lipoprotein YnbE	ynbE
b1383	DUF1318 domain-containing protein YdbL	ydbL
b1384	DNA-binding transcriptional activator FeaR	feaR
b1385	phenylacetaldehyde dehydrogenase	feaB
b1386	copper-containing amine oxidase	tynA
b1387	oxepin-CoA hydrolase/3-oxo-5%2C6-dehydrosuberyl-CoA semialdehyde dehydrogenase	paaZ
b1388	phenylacetyl-CoA 1%2C2-epoxidase%2C monooxygenase subunit	paaA
b1389	phenylacetyl-CoA 1%2C2-epoxidase subunit B	paaB
b1390	phenylacetyl-CoA 1%2C2-epoxidase%2C structural subunit	paaC
b1391	phenylacetate degradation protein	paaD
b1392	phenylacetyl-CoA 1%2C2-epoxidase%2C reductase subunit	paaE
b1393	putative 2%2C3-dehydroadipyl-CoA hydratase	paaF
b1394	putative ring 1%2C2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)	paaG
b1395	3-hydroxyadipyl-CoA dehydrogenase	paaH
b1396	phenylacetyl-CoA thioesterase	paaI
b1397	beta-ketoadipyl-CoA thiolase	paaJ
b1398	phenylacetate-CoA ligase	paaK
b1399	DNA-binding transcriptional repressor PaaX	paaX
b1400	2-hydroxycyclohepta-1%2C4%2C6-triene-1-carboxyl-CoA thioesterase	paaY
b4674	uncharacterized protein YnbG	ynbG
b4492	putative outer membrane protein%2C N-terminal fragment	ydbA
b1402	IS2 insertion element protein InsB	insD-2
b1403	IS2 insertion element repressor InsA	insC-2
b1404	IS30 transposase	insI-2
b1406	pyridoxine 4-dehydrogenase	pdxI
b1407	DUF2773 domain-containing protein YdbD	ydbD
b1408	putative inner membrane protein	ynbA
b1409	putative CDP-diglyceride synthase	ynbB
b1410	hydrolase/methyltransferase domain-containing protein YnbC	ynbC
b1411	putative phosphatase	ynbD
b1412	FMN dependent NADH:quinone oxidoreductase	azoR
b1413	ATP-dependent RNA helicase HrpA	hrpA
b1414	DUF218 domain-containing protein YdcF	ydcF
b1415	aldehyde dehydrogenase A	aldA
b4493	glyceraldehyde-3-phosphate dehydrogenase	gapC
b1418	cytochrome b561	cybB
b1419	protein YdcA	ydcA
b4428	toxin HokB	hokB
b1420	putative regulatory protein MokB	mokB
b1421	methyl-accepting chemotaxis protein Trg	trg
b1422	putative DNA-binding transcriptional repressor YdcI	ydcI
b1423	DUF1338 domain-containing protein YdcJ	ydcJ
b1424	glucan biosynthesis protein D	opgD
b1426	protein YdcH	ydcH
b1427	ribosomal-protein-L12-serine acetyltransferase	rimL
b1428	putative enzyme YdcK	ydcK
b1429	tellurite resistance protein	tehA
b1430	tellurite methyltransferase	tehB
b1431	DUF3313 domain-containing lipoprotein YdcL	ydcL
b1432	putative insertion element transposase InsQ	insQ
b1433	putative transport protein YdcO	ydcO
b1434	DNA-binding transcriptional dual regulator SutR	sutR
b1435	23S rRNA 5-hydroxycytidine C2501 synthase	rlhA
b1436	protein YncJ	yncJ
b4532	toxin of the HicA-HicB toxin-antitoxin system	hicA
b1438	antitoxin of the HicA-HicB toxin-antitoxin system	hicB
b1439	fused putative DNA-binding transcriptional regulator/putative aminotransferase YdcR	ydcR
b1440	putative ABC transporter periplasmic binding protein/polyhydroxybutyrate synthase	ydcS
b1441	putative ABC transporter ATP-binding protein YdcT	ydcT
b1442	putative ABC transporter membrane subunit YdcU	ydcU
b1443	putative ABC transporter membrane subunit YdcV	ydcV
b1444	gamma-aminobutyraldehyde dehydrogenase	patD
b4598	uncharacterized protein YncL	yncL
b1445	orphan toxin OrtT	ortT
b1446	DUF2526 domain-containing protein YdcY	ydcY
b1447	putative inner membrane protein	ydcZ
b1448	L-amino acid N-acyltransferase	mnaT
b1449	NADPH-dependent curcumin/dihydrocurcumin reductase	curA
b1450	DNA-binding transcriptional dual regulator McbR	mcbR
b1451	putative TonB-dependent outer membrane receptor	yncD
b1452	PQQ-like domain-containing protein YncE	yncE
b1453	L-asparagine transporter	ansP
b1454	putative glutathione S-transferase YncG	yncG
b1455	DUF5445 domain-containing protein YncH	yncH
b1456	RhsE protein in rhs element	rhsE
b1457	uncharacterized protein YdcD	ydcD
b4745	protein YncO	yncO
b1459	putative transposase YncI	yncI
b1460	H repeat-associated putative transposase YdcC	ydcC
b1461	putative 4-oxalocrotonate tautomerase (4-OT)	pptA
b1462	flavin reductase-like protein YddH	yddH
b1463	arylamine N-acetyltransferase	nhoA
b1464	PF02567 family protein YddE	yddE
b1465	nitrate reductase Z subunit gamma	narV
b1466	NarW%2C putative private chaperone for NarZ nitrate reductase subunit	narW
b1467	nitrate reductase Z subunit beta	narY
b1468	nitrate reductase Z subunit alpha	narZ
b1469	nitrate/nitrite transporter NarU	narU
b1470	uncharacterized protein YddJ	yddJ
b1471	leucine-rich repeat domain-containing protein YddK	yddK
b1472	putative uncharacterized protein YddL	yddL
b1473	aromatic amino acid exporter	yddG
b1474	formate dehydrogenase N subunit alpha	fdnG
b1475	formate dehydrogenase N subunit beta	fdnH
b1476	formate dehydrogenase N subunit gamma	fdnI
b1477	putative DNA-binding transcriptional regulator YddM	yddM
b1478	ethanol dehydrogenase/alcohol dehydrogenase	adhP
b1479	malate dehydrogenase%2C NAD-requiring	maeA
b1480	30S ribosomal subunit protein S22	sra
b1481	biofilm-dependent modulation protein	bdm
b1482	osmotically inducible peroxiredoxin	osmC
b1483	putative D%2CD-dipeptide ABC transporter ATP-binding subunit DdpF	ddpF
b1484	putative D%2CD-dipeptide ABC transporter ATP-binding subunit DdpD	ddpD
b1485	putative D%2CD-dipeptide ABC transporter membrane subunit DdpC	ddpC
b1486	putative D%2CD-dipeptide ABC transporter membrane subunit DdpB	ddpB
b1487	putative D%2CD-dipeptide ABC transporter periplasmic binding protein	ddpA
b1488	D-alanyl-D-alanine dipeptidase	ddpX
b1489	oxygen-sensing c-di-GMP phosphodiesterase DosP	dosP
b1490	diguanylate cyclase DosC	dosC
b4746	protein YddY	yddY
b1491	putative lipoprotein YddW	yddW
b1492	L-glutamate:4-aminobutyrate antiporter	gadC
b1493	glutamate decarboxylase B	gadB
b1494	putative zinc peptidase	pqqL
b1495	putative TonB-dependent receptor	yddB
b1496	ABC transporter family protein YddA	yddA
b4747	protein YneP	yneP
b1497	putative anaerobic sulfatase maturation enzyme YdeM	ydeM
b1498	putative sulfatase	ydeN
b1499	DNA-binding transcriptional dual regulator YdeO	ydeO
b1500	two-component system connector SafA	safA
b1501	putative oxidoreductase YdeP	ydeP
b1502	putative fimbrial adhesin protein YdeQ	ydeQ
b1503	putative fimbrial protein YdeR	ydeR
b1504	putative fimbrial protein YdeS	ydeS
b1505	fimbrial usher domain-containing protein YdeT	ydeT
b1506	putative HTH-type transcriptional regulator YneL	yneL
b1507	serine/threonine kinase HipA	hipA
b1508	antitoxin/DNA-binding transcriptional repressor HipB	hipB
b4696	AIDA-I family autotransporter YneO	yneO
b1511	autoinducer-2 kinase	lsrK
b1512	DNA-binding transcriptional repressor LsrR	lsrR
b1513	Autoinducer-2 ABC transporter ATP binding subunit	lsrA
b1514	Autoinducer-2 ABC transporter membrane subunit LsrC	lsrC
b1515	Autoinducer-2 ABC transporter membrane subunit LsrD	lsrD
b1516	Autoinducer-2 ABC transporter periplasmic binding protein	lsrB
b1517	3-hydroxy-2%2C4-pentadione 5-phosphate thiolase	lsrF
b1518	(4S)-4-hydroxy-5-phosphonooxypentane-2%2C3-dione isomerase	lsrG
b1519	trans-aconitate 2-methyltransferase	tam
b1520	conserved inner membrane protein YneE	yneE
b1521	tagaturonate reductase	uxaB
b1522	putative diguanylate cyclase DgcF	dgcF
b1523	conserved protein YneG	yneG
b1524	glutaminase 2	glsB
b1525	NAD(+)-dependent succinate semialdehyde dehydrogenase	sad
b1526	putative LysR-type DNA-binding transcriptional regulator YneJ	yneJ
b1527	protein YneK	yneK
b1528	L-arabinose exporter	ydeA
b1529	inner membrane protein MarC	marC
b1530	DNA-binding transcriptional repressor MarR	marR
b1531	DNA-binding transcriptional dual regulator MarA	marA
b1532	multiple antibiotic resistance protein	marB
b1533	cysteine/O-acetylserine exporter EamA	eamA
b1534	dipeptide exporter	ydeE
b4599	small protein MgtS	mgtS
b1535	diguanylate cyclase DgcZ	dgcZ
b1536	BOF family protein YdeI	ydeI
b1537	conserved protein YdeJ	ydeJ
b1538	peptidyl-dipeptidase Dcp	dcp
b1539	3-hydroxy acid dehydrogenase	ydfG
b1540	DNA-binding transcriptional repressor YdfH	ydfH
b1541	putative selenoprotein YdfZ	ydfZ
b1542	putative oxidoreductase YdfI	ydfI
b1543	putative transporter YdfJ	ydfJ
b4748	Qin prophage%3B protein YnfT	ynfT
b1544	Qin prophage%3B cold shock protein YdfK	ydfK
b1545	Qin prophage%3B putative site-specific recombinase	pinQ
b1546	Qin prophage%3B putative tail fiber assembly protein TfaQ	tfaQ
b1547	Qin prophage%3B putative side tail fiber assembly protein	ydfN
b1548	Qin prophage%3B putative prophage DNA-packaging protein NohA	nohA
b4533	Qin prophage%3B protein YnfO	ynfO
b1549	Qin prophage%3B protein YdfO	ydfO
b1550	Qin prophage%3B protein GnsB	gnsB
b1551	Qin prophage%3B protein YnfN	ynfN
b4749	Qin prophage%3B protein YnfR	ynfR
b4724	Qin prophage%3B protein YnfQ	ynfQ
b1552	Qin prophage%3B cold shock protein CspI	cspI
b1553	Qin prophage%3B DUF2514 domain-containing protein RzpQ	rzpQ
b4689	Qin prophage%3B putative lipoprotein RzoQ	rzoQ
b1554	Qin prophage%3B putative lysozyme	rrrQ
b1555	Qin prophage%3B protein YdfR	ydfR
b1556	Qin prophage%3B putative S lysis protein	essQ
b1557	Qin prophage%3B cold shock-like protein CspB	cspB
b1558	Qin prophage%3B cold shock protein CspF	cspF
b4750	Qin prophage%3B protein YnfS	ynfS
b1559	Qin prophage%3B putative antitermination protein Q	ydfT
b1560	Qin prophage%3B protein YdfU	ydfU
b1561	Qin prophage%3B protein Rem	rem
b1562	Qin prophage%3B toxic protein HokD	hokD
b1563	Qin prophage%3B mRNA interferase toxin RelE	relE
b1564	Qin prophage%3B antitoxin/DNA-binding transcriptional repressor RelB	relB
b1565	Qin prophage%3B protein YdfV	ydfV
b1566	Qin prophage%3B protein FlxA	flxA
b1567	Qin prophage%3B uncharacterized protein YdfW	ydfW
b1568	Qin prophage%3B uncharacterized protein YdfX	ydfX
b1569	Qin prophage%3B DNA-binding transcriptional regulator for DicB	dicC
b1570	DNA-binding transcriptional dual regulator DicA	dicA
b1571	Qin prophage%3B DUF1391 domain-containing protein YdfA	ydfA
b1572	Qin prophage%3B uncharacterized protein YdfB	ydfB
b1573	Qin prophage%3B uncharacterized protein YdfC	ydfC
