Gene	seqnames	old_locus_tag	start	end	strand
b0866	ybjQ		904593	904916	+
b0867	amiD		904913	905743	+
b0868	ybjS		905740	906753	-
b0869	ybjT		906852	908282	-
b0870	ltaE		908293	909294	-
b0871	poxB		909331	911049	-
b0872	hcr		911182	912150	-
b0873	hcp		912162	913814	-
b0874	lysO		913958	914857	-
b0875	aqpZ		915352	916047	-
b0876	ybjD		916473	918131	+
b0877	ybjX		918128	919120	-
b0878	macA		919235	920350	+
b0879	macB		920347	922293	+
b0880	cspD		922366	922590	-
b0881	clpS		922913	923233	+
b0882	clpA		923264	925540	+
b0884	infA		926225	926443	-
b0885	aat		926728	927432	-
b0886	cydC		927474	929195	-
b0887	cydD		929196	930962	-
b0888	trxB		931085	932050	-
b0889	lrp		932595	933089	+
b0890	ftsK		933224	937213	+
b0891	lolA		937372	937983	+
b0892	rarA		937994	939337	+
b0893	serS		939428	940720	+
b0894	dmsA		940959	943403	+
b0895	dmsB		943414	944031	+
b0896	dmsC		944033	944896	+
b0897	ycaC		944931	945557	-
b0898	ycaD		945871	947019	+
b0899	ycaM		947229	948659	+
b0900	ycaN		948660	949568	-
b0901	ycaK		949668	950258	+
b0902	pflA		950340	951080	-
b0903	pflB		951272	953554	-
b0904	focA		953609	954466	-
b0905	ycaO		954872	956632	-
b0906	ycaP		956762	957454	+
b0907	serC		957653	958741	+
b0908	aroA		958812	960095	+
b0909	ycaL		960264	961028	+
b0910	cmk		961201	961884	+
b0911	rpsA		961995	963668	+
b0912	ihfB		963828	964112	+
b0913	ycaI		964320	966584	+
b0914	msbA		966621	968369	+
b0915	lpxK		968366	969352	+
b0916	ycaQ		969389	970621	+
b0917	ycaR		970673	970855	+
b0918	kdsB		970852	971598	+
b0919	ycbJ		971752	972645	+
b0920	elyC		972622	973401	-
b0921	cmoM		973537	974322	+
b0922	mukF		974319	975641	+
b0923	mukE		975622	976326	+
b0924	mukB		976326	980786	+
b0925	ldtD		981047	982894	+
b0926	ycbK		983075	983623	+
b0927	gloC		983650	984297	+
b0928	aspC		984519	985709	-
b0929	ompF		985894	986982	-
b0930	asnS		987585	988985	-
b0931	pncB		989154	990356	-
b0932	pepN		990622	993234	+
b0933	ssuB		993277	994044	-
b0934	ssuC		994041	994832	-
b0935	ssuD		994843	995988	-
b0936	ssuA		995985	996944	-
b0937	ssuE		996937	997512	-
b0938	elfA		997868	998407	+
b0939	elfD		998490	999191	+
b0940	elfC		999216	1001816	+
b0941	elfG		1001807	1002877	+
b0942	ycbU		1002889	1003431	+
b0943	ycbV		1003439	1003954	+
b0944	ycbF		1003947	1004657	+
b0945	pyrD		1004768	1005778	+
b0946	zapC		1005952	1006494	+
b0947	ycbX		1006491	1007600	-
b0948	rlmL		1007844	1009952	+
b0949	uup		1009964	1011871	+
b0950	pqiA		1012001	1013254	+
b0951	pqiB		1013259	1014899	+
b0952	pqiC		1014896	1015459	+
b0953	rmf		1015715	1015882	+
b0954	fabA		1015952	1016470	-
b0955	ycbZ		1016539	1018299	-
b0956	matP		1018485	1018937	+
b0957	ompA		1019013	1020053	-
b0958	sulA		1020410	1020919	-
b0959	sxy		1021138	1021767	+
b0960	yccS		1021730	1023883	-
b0961	yccF		1023902	1024348	-
b0962	helD		1024471	1026525	+
b0963	mgsA		1026557	1027015	-
b0964	yccT		1027111	1027773	-
b0965	yccU		1027946	1028359	+
b0966	hspQ		1028404	1028721	-
b0967	rlmI		1028779	1029969	-
b0968	yccX		1030064	1030342	+
b0969	tusE		1030339	1030668	-
b0970	yccA		1030759	1031418	-
b0972	hyaA		1032139	1033257	+
b0973	hyaB		1033254	1035047	+
b0974	hyaC		1035066	1035773	+
b0975	hyaD		1035770	1036357	+
b0976	hyaE		1036354	1036752	+
b0977	hyaF		1036749	1037606	+
b0978	appC		1037740	1039284	+
b0979	appB		1039296	1040432	+
b4592	appX		1040445	1040537	+
b0980	appA		1040617	1041915	+
b0981	etk		1042030	1044210	-
b0982	etp		1044230	1044676	-
b0983	gfcE		1044664	1045803	-
b0984	gfcD		1045849	1047945	-
b0985	gfcC		1047945	1048691	-
b0986	gfcB		1048688	1049332	-
b0987	gfcA		1049439	1049744	-
b4516	insA-4		1049833	1050108	+
b0988	insB-4		1050027	1050530	+
b0989	cspH		1050963	1051175	-
b0990	cspG		1051461	1051673	+
b4723	ymcF		1051684	1051872	+
b0991	ymcE		1051847	1052077	+
b4517	gnsA		1052067	1052240	+
b0992	yccM		1052289	1053362	-
b0993	torS		1053434	1056178	-
b0994	torT		1056261	1057289	+
b0995	torR		1057262	1057954	-
b0996	torC		1058084	1059256	+
b0997	torA		1059256	1061802	+
b0998	torD		1061799	1062398	+
b0999	cbpM		1062550	1062855	-
b1000	cbpA		1062855	1063775	-
b1001	yccE		1064036	1065292	+
b1002	agp		1065585	1066826	+
b1003	yccJ		1066864	1067091	-
b1004	wrbA		1067112	1067708	-
b4518	ymdF		1068081	1068254	+
b1006	rutG		1068511	1069839	-
b1007	rutF		1069860	1070354	-
b1008	rutE		1070365	1070955	-
b1009	rutD		1070965	1071765	-
b1010	rutC		1071773	1072159	-
b1011	rutB		1072171	1072863	-
b1012	rutA		1072863	1074011	-
b1013	rutR		1074242	1074880	+
b1014	putA		1074920	1078882	-
b4737	ymdG		1079024	1079146	+
b1015	putP		1079305	1080813	+
b4490	efeU		1081356	1082185	+
b1018	efeO		1082243	1083370	+
b1019	efeB		1083376	1084647	+
b1020	phoH		1084992	1086056	+
b1021	pgaD		1086106	1086519	-
b1022	pgaC		1086521	1087846	-
b1023	pgaB		1087839	1089857	-
b1024	pgaA		1089866	1092289	-
b1025	dgcT		1092876	1094234	+
b1026	insF-4		1094275	1095141	-
b1027	insE-4		1095138	1095437	-
b1028	ymdE		1095544	1095846	+
b1029	ycdU		1095843	1096829	+
b1033	ghrA		1097886	1098824	+
b1034	ycdX		1098879	1099616	+
b1035	ycdY		1099640	1100194	+
b1036	ycdZ		1100296	1100787	+
b1037	csgG		1100851	1101684	-
b1038	csgF		1101711	1102127	-
b1039	csgE		1102152	1102541	-
b1040	csgD		1102546	1103196	-
b1041	csgB		1103951	1104406	+
b1042	csgA		1104447	1104902	+
b1043	csgC		1104961	1105293	+
b1044	ymdA		1105414	1105725	+
b1045	ymdB		1105820	1106353	+
b1046	clsC		1106355	1107776	+
b1047	opgC		1107784	1108941	-
b1048	opgG		1109335	1110870	+
b1049	opgH		1110863	1113406	+
b1050	yceK		1113579	1113806	+
b1051	msyB		1113807	1114181	-
b1053	mdtG		1114264	1115490	-
b1054	lpxL		1115662	1116582	-
b1055	yceA		1116807	1117859	+
b1056	yceI		1117901	1118476	-
b1057	yceJ		1118480	1119046	-
b1058	yceO		1119307	1119447	-
b1059	solA		1119468	1120586	-
b1060	bssS		1120701	1120955	-
b1061	dinI		1121242	1121487	-
b1062	pyrC		1121561	1122607	-
b1063	yceB		1122713	1123273	-
b1064	grxB		1123407	1124054	-
b1065	mdtH		1124118	1125326	-
b1066	rimJ		1125562	1126146	+
b1067	yceH		1126157	1126804	+
b1068	yceM		1126806	1127729	+
b1069	murJ		1127839	1129374	+
b1070	flgN		1129414	1129830	-
b1071	flgM		1129835	1130128	-
b1072	flgA		1130204	1130863	-
b1073	flgB		1131018	1131434	+
b1074	flgC		1131438	1131842	+
b1075	flgD		1131854	1132549	+
b1076	flgE		1132574	1133782	+
b1077	flgF		1133802	1134557	+
b1078	flgG		1134729	1135511	+
b1079	flgH		1135564	1136262	+
b1080	flgI		1136274	1137371	+
b1081	flgJ		1137371	1138312	+
b1082	flgK		1138378	1140021	+
b1083	flgL		1140033	1140986	+
b1084	rne		1141182	1144367	-
b1085	yceQ		1144502	1144822	+
b1086	rluC		1144940	1145899	+
b1087	yceF		1146011	1146595	-
b1088	yceD		1146794	1147315	+
b1089	rpmF		1147367	1147540	+
b1090	plsX		1147621	1148691	+
b1091	fabH		1148759	1149712	+
b1092	fabD		1149728	1150657	+
b1093	fabG		1150670	1151404	+
b1094	acpP		1151615	1151851	+
b1095	fabF		1151939	1153180	+
b1096	pabC		1153300	1154109	+
b1097	mltG		1154112	1155134	+
b1098	tmk		1155124	1155765	+
b1099	holB		1155762	1156766	+
b1100	ycfH		1156777	1157574	+
b1101	ptsG		1157869	1159302	+
b1102	fhuE		1159362	1161551	-
b1103	hinT		1161885	1162244	+
b1104	ycfL		1162247	1162624	+
b1105	lpoB		1162638	1163279	+
b1106	thiK		1163260	1164084	+
b1107	nagZ		1164095	1165120	+
b1108	ycfP		1165143	1165685	+
b1109	ndh		1166085	1167389	+
b1110	ycfJ		1167599	1168138	+
b1111	comR		1168200	1168832	-
b1112	bhsA		1169073	1169330	+
b1113	ldtC		1169412	1170374	-
b1114	mfd		1170518	1173964	-
b1115	ycfT		1174092	1175165	-
b1116	lolC		1175427	1176626	+
b1117	lolD		1176619	1177320	+
b1118	lolE		1177320	1178564	+
b1119	nagK		1178593	1179504	+
b1120	cobB		1179520	1180359	+
b1121	ycfZ		1180479	1181267	-
b1122	ymfA		1181264	1181725	-
b1123	potD		1181783	1182829	-
b1124	potC		1182826	1183620	-
b1125	potB		1183617	1184444	-
b1126	potA		1184458	1185594	-
b1127	pepT		1185844	1187070	+
b1128	roxA		1187119	1188240	-
b1129	phoQ		1188316	1189776	-
b1130	phoP		1189776	1190447	-
b1131	purB		1190616	1191986	-
b1132	hflD		1191990	1192631	-
b1133	mnmA		1192667	1193773	-
b1134	nudJ		1193827	1194288	-
b1135	rluE		1194298	1194951	-
b1136	icd		1195123	1196373	+
b1137	ymfD		1196867	1197532	-
b1138	ymfE		1197533	1198237	-
b1139	lit		1198695	1199588	+
b1140	intE		1199679	1200806	-
b1141	xisE		1200787	1201032	-
b1142	ymfH		1201069	1201380	-
b1143	ymfI		1201497	1201838	+
b1144	ymfJ		1201776	1202084	-
b1145	ymfK		1202259	1202933	-
b1146	ymfT		1203024	1203224	+
b1147	ymfL		1203268	1203825	+
b1148	ymfM		1203822	1204160	+
b1149	ymfN		1204170	1205537	+
b4692	oweE		1204170	1204403	+
b4693	aaaE		1204401	1205537	+
b1150	ymfR		1205549	1205731	+
b1151	beeE		1205731	1206204	+
b1152	jayE		1206131	1206922	+
b1153	ymfQ		1206913	1207497	+
b1154	ycfK		1207501	1208130	+
b1155	tfaP		1208132	1208545	+
b1156	tfaE		1208517	1209119	-
b1157	stfE		1209119	1209655	-
b1158	pinE		1209685	1210239	+
b1159	mcrA		1210346	1211179	+
b4519	icdC		1211413	1211577	+
b1160	iraM		1211680	1212003	-
b4738	ymgK		1212260	1212304	-
b4739	ymgL		1212540	1212650	-
b1161	ycgX		1212703	1213107	-
b1162	bluR		1213328	1214059	-
b1163	bluF		1214264	1215475	-
b1164	ycgZ		1215789	1216025	+
b1165	ymgA		1216068	1216340	+
b1166	ariR		1216369	1216635	+
b1167	ymgC		1216748	1216996	+
b1168	pdeG		1217328	1218851	+
b4520	ymgF		1218983	1219201	+
b4491	ycgH		1219601	1222248	+
b1171	ymgD		1222305	1222634	-
b1172	ymgG		1222644	1222988	-
b4593	ymgI		1222990	1223163	-
b4594	ymgJ		1223264	1223449	+
b4521	ycgI		1223564	1223907	+
b1174	minE		1224279	1224545	-
b1175	minD		1224549	1225361	-
b1176	minC		1225385	1226080	-
b1177	ycgJ		1226600	1226968	+
b1178	pliG		1227071	1227472	-
b1179	ycgL		1227681	1228007	+
b1180	ycgM		1228079	1228738	+
b1181	ycgN		1228815	1229276	+
b1182	hlyE		1229483	1230394	-
b1183	umuD		1230767	1231186	+
b1184	umuC		1231186	1232454	+
b1185	dsbB		1232500	1233030	-
b1186	nhaB		1233176	1234717	-
b1187	fadR		1234938	1235657	+
b1188	ycgB		1235709	1237241	-
b1189	dadA		1237571	1238869	+
b1190	dadX		1238879	1239949	+
b4740	ymgM		1240260	1240463	+
b1191	cvrA		1240335	1242071	-
b1192	ldcA		1242166	1243080	-
b1193	emtA		1243180	1243791	+
b1194	ycgR		1243793	1244527	-
b1195	ymgE		1244728	1244982	+
b1196	ycgY		1245160	1245600	+
b1197	treA		1245679	1247376	-
b1198	dhaM		1247696	1249114	-
b1199	dhaL		1249125	1249757	-
b1200	dhaK		1249768	1250838	-
b1201	dhaR		1251066	1252985	+
b1202	ycgV		1253085	1255952	-
b1203	ychF		1256721	1257812	-
b1204	pth		1257929	1258513	-
b1205	ychH		1258791	1259069	+
b1206	dauA		1259124	1260803	-
b1207	prs		1260928	1261875	-
b1208	ispE		1262026	1262877	-
b1209	lolB		1262877	1263500	-
b1210	hemA		1263714	1264970	+
b1211	prfA		1265012	1266094	+
b1212	prmC		1266094	1266927	+
b1213	ychQ		1266924	1267316	+
b1214	ychA		1267320	1268129	+
b1215	kdsA		1268165	1269019	+
b4419	ldrA		1269168	1269275	-
b4421	ldrB		1269703	1269810	-
b4423	ldrC		1270238	1270345	-
b1216	chaA		1270749	1271849	-
b1217	chaB		1272119	1272349	+
b1218	chaC		1272507	1273202	+
b1219	ychN		1273246	1273599	-
b1220	ychO		1273784	1275178	+
b1221	narL		1275179	1275829	-
b1222	narX		1275822	1277618	-
b1223	narK		1277957	1279348	+
b1224	narG		1279864	1283607	+
b1225	narH		1283604	1285142	+
b1226	narJ		1285139	1285849	+
b1227	narI		1285849	1286526	+
b1228	ychS		1286709	1286984	+
b1229	tpr		1287087	1287176	-
b1232	purU		1287782	1288624	-
b1233	ychJ		1288674	1289132	-
b1234	rssA		1289245	1290150	+
b1235	rssB		1290242	1291255	+
b1236	galU		1291457	1292365	+
b1237	hns		1292509	1292922	-
b1238	tdk		1293527	1294144	+
b4573	insZ		1294426	1295322	-
b1241	adhE		1295446	1298121	-
b1242	ychE		1298598	1299245	+
b4711	insH21		1299531	1300547	+
b1243	oppA		1301182	1302813	+
b1244	oppB		1302899	1303819	+
b1245	oppC		1303834	1304742	+
b1246	oppD		1304754	1305767	+
b1247	oppF		1305764	1306768	+
b1248	yciU		1306821	1307150	-
b1249	clsA		1307185	1308645	-
b4595	yciY		1308788	1308961	+
b1250	kch		1309016	1310269	-
b1251	yciI		1310569	1310865	-
b1252	tonB		1311089	1311808	+
b1253	yciA		1311848	1312246	-
b1254	yciB		1312351	1312890	-
b1255	yciC		1312920	1313663	-
b1256	ompW		1314020	1314658	+
b1257	yciE		1314718	1315224	-
b1258	yciF		1315270	1315770	-
b1259	yciG		1315856	1316035	-
b1260	trpA		1316416	1317222	-
b1261	trpB		1317222	1318415	-
b1262	trpC		1318427	1319788	-
b1263	trpD		1319789	1321384	-
b1264	trpE		1321384	1322946	-
b1265	trpL		1323038	1323082	-
b1266	yciV		1323220	1324101	+
b1267	yciO		1324098	1324718	+
b1268	yciQ		1324746	1326641	+
b1269	rluB		1326852	1327727	+
b1270	btuR		1327767	1328357	-
b1271	yciK		1328354	1329112	-
b1272	sohB		1329332	1330381	+
b1273	yciN		1330417	1330668	-
b1274	topA		1331048	1333645	+
b1275	cysB		1333855	1334829	+
b4522	ymiA		1335124	1335288	+
b4523	yciX		1335291	1335458	+
b4741	ymiC		1335572	1335667	+
b1276	acnA		1335831	1338506	+
b1277	ribA		1338570	1339160	-
b1278	pgpB		1339330	1340094	+
b1279	lapA		1340243	1340551	+
b1280	lapB		1340558	1341727	+
b1281	pyrF		1341921	1342658	+
b1282	yciH		1342658	1342984	+
b1283	osmB		1343110	1343328	-
b1284	yciT		1343597	1344346	-
b4596	yciZ		1344436	1344609	-
b1285	pdeR		1344757	1346742	-
b4672	ymiB		1346796	1346900	+
b1286	rnb		1346978	1348912	-
b1287	yciW		1348980	1350107	-
b1288	fabI		1350251	1351039	-
b1289	ycjD		1351407	1351760	-
b1290	sapF		1351828	1352634	-
b1291	sapD		1352636	1353628	-
b1292	sapC		1353628	1354518	-
b1293	sapB		1354505	1355470	-
b1294	sapA		1355467	1357110	-
b1295	ymjA		1357423	1357668	-
b1296	puuP		1357802	1359187	-
b4742	ymjE		1359177	1359341	-
b1297	puuA		1359490	1360908	-
b1298	puuD		1361120	1361884	+
b1299	puuR		1361911	1362468	+
b1300	puuC		1362743	1364230	+
b1301	puuB		1364232	1365512	+
b1302	puuE		1365550	1366815	+
b1303	pspF		1366935	1367912	-
b1304	pspA		1368079	1368747	+
b1305	pspB		1368801	1369025	+
b1306	pspC		1369025	1369384	+
b1307	pspD		1369393	1369614	+
b1308	pspE		1369689	1370003	+
b1309	ycjM		1370216	1371895	+
b1310	ycjN		1371909	1373201	+
b1311	ycjO		1373222	1374103	+
b1312	ycjP		1374090	1374932	+
b1313	ycjQ		1374963	1376015	+
b1314	ycjR		1376034	1376822	+
b1315	ycjS		1376832	1377887	+
b1316	ycjT		1377884	1380151	+
b1317	ycjU		1380148	1380807	+
b1318	ycjV		1380821	1381789	+
b4524	ymjB		1381789	1381902	+
b1319	ompG		1381947	1382852	+
b1320	ycjW		1382963	1383961	-
b1321	ycjX		1384117	1385514	+
b1322	ycjF		1385511	1386572	+
b1323	tyrR		1386720	1388261	+
b1324	tpx		1388305	1388811	-
b1325	ycjG		1388930	1389895	+
b1326	mpaA		1389870	1390598	-
b4525	ymjC		1390680	1390862	-
b4673	ymjD		1390868	1390933	-
b1327	ycjY		1390933	1391853	-
b1328	pgrR		1391991	1392890	+
b1329	mppA		1393227	1394840	+
b1330	ynaI		1394891	1395922	-
b1331	insH-4		1396076	1397092	+
b1332	ynaJ		1397365	1397622	+
b1333	uspE		1397672	1398622	-
b1334	fnr		1398774	1399526	-
b1335	ogt		1399721	1400236	-
b1336	abgT		1400247	1401773	-
b1337	abgB		1401810	1403255	-
b1338	abgA		1403255	1404565	-
b1339	abgR		1404741	1405649	+
b1340	smrA		1405979	1406542	+
b1341	dgcM		1406563	1407795	-
b1342	zntB		1408050	1409033	+
b4743	ynaL		1409308	1409481	+
b1343	dbpA		1409511	1410884	+
b1344	ttcA		1411013	1411948	-
b1345	intR		1412000	1413235	-
b1346	xisR		1413237	1413452	-
b1347	rcbA		1413531	1413740	-
b1348	ralR		1413733	1413927	-
b1349	recT		1413984	1414793	-
b1350	recE		1414786	1417386	-
b1351	racC		1417488	1417763	-
b4526	ydaE		1417838	1418008	-
b1352	kilR		1418008	1418229	-
b1353	sieB		1418671	1419159	+
b4527	ydaF		1419156	1419311	-
b1355	ydaG		1419322	1419456	-
b1356	racR		1419765	1420241	-
b1357	ydaS		1420365	1420661	+
b1358	ydaT		1420684	1421106	+
b1359	ydaU		1421119	1421976	+
b1360	ydaV		1421983	1422729	+
b1361	ydaW		1422752	1423312	+
b1362	rzpR		1423345	1423644	+
b4528	rzoR		1423400	1423585	+
b1363	trkG		1423782	1425239	+
b1365	ynaK		1425377	1425640	+
b1366	ydaY		1425621	1425980	+
b1368	ynaA		1426454	1427482	+
b4570	lomR		1427389	1427598	+
b1370	insH-5		1427746	1428726	-
b1372	stfR		1429049	1432411	+
b1373	tfaR		1432411	1432986	+
b1374	pinR		1433084	1433674	-
b1375	ynaE		1433991	1434224	-
b4744	ynaM		1434293	1434406	-
b4638	ttcC		1434958	1435008	-
b1376	uspF		1435185	1435619	-
b1377	ompN		1435760	1436893	-
b1378	ydbK		1437260	1440784	-
b4529	ydbJ		1441058	1441324	+
b1379	hslJ		1441321	1441743	-
b1380	ldhA		1441854	1442843	-
b1381	ydbH		1443051	1445690	+
b1382	ynbE		1445687	1445872	+
b1383	ydbL		1445880	1446206	+
b1384	feaR		1446378	1447283	-
b1385	feaB		1447519	1449018	+
b1386	tynA		1449076	1451349	-
b1387	paaZ		1451597	1453642	-
b1388	paaA		1453927	1454856	+
b1389	paaB		1454868	1455155	+
b1390	paaC		1455164	1455910	+
b1391	paaD		1455925	1456422	+
b1392	paaE		1456430	1457500	+
b1393	paaF		1457497	1458264	+
b1394	paaG		1458264	1459052	+
b1395	paaH		1459054	1460481	+
b1396	paaI		1460471	1460893	+
b1397	paaJ		1460893	1462098	+
b1398	paaK		1462125	1463438	+
b1399	paaX		1463539	1464489	+
b1400	paaY		1464471	1465061	+
b4674	ynbG		1465165	1465230	-
b4492	ydbA		1465392	1467909	+
b1402	insD-2		1467921	1468826	-
b1403	insC-2		1468784	1469149	-
b1404	insI-2		1469358	1470509	+
b1406	pdxI		1474221	1475081	+
b1407	ydbD		1475144	1477450	+
b1408	ynbA		1477621	1478226	+
b1409	ynbB		1478226	1479122	+
b1410	ynbC		1479138	1480895	+
b1411	ynbD		1480909	1482201	+
b1412	azoR		1482255	1482860	-
b1413	hrpA		1483061	1486963	+
b1414	ydcF		1487235	1488035	+
b1415	aldA		1488232	1489671	+
b4493	gapC		1489713	1490713	-
b1418	cybB		1490902	1491432	+
b1419	ydcA		1491677	1491850	+
b4428	hokB		1491922	1492071	-
b1420	mokB		1491962	1492129	-
b1421	trg		1492470	1494110	+
b1422	ydcI		1494148	1495071	-
b1423	ydcJ		1495288	1496631	+
b1424	opgD		1496856	1498511	+
b1426	ydcH		1498651	1498875	+
b1427	rimL		1498938	1499477	+
b1428	ydcK		1499469	1500449	-
b1429	tehA		1500573	1501565	+
b1430	tehB		1501562	1502155	+
b1431	ydcL		1502457	1503125	+
b1432	insQ		1503717	1504865	+
b1433	ydcO		1504905	1506080	-
b1434	sutR		1506172	1506708	+
b1435	rlhA		1506781	1508742	+
b1436	yncJ		1508834	1509064	-
b4532	hicA		1509286	1509462	+
b1438	hicB		1509508	1509924	+
b1439	ydcR		1510003	1511409	+
b1440	ydcS		1511654	1512799	+
b1441	ydcT		1512817	1513830	+
b1442	ydcU		1513831	1514772	+
b1443	ydcV		1514762	1515556	+
b1444	patD		1515578	1517002	+
b4598	yncL		1517099	1517194	-
b1445	ortT		1517389	1517562	+
b1446	ydcY		1517648	1517881	+
b1447	ydcZ		1517882	1518331	-
b1448	mnaT		1518328	1518846	-
b1449	curA		1519027	1520064	+
b1450	mcbR		1520262	1520927	+
b1451	yncD		1520963	1523065	-
b1452	yncE		1523307	1524368	+
b1453	ansP		1524481	1525980	-
b1454	yncG		1526247	1526864	+
b1455	yncH		1526940	1527152	+
b1456	rhsE		1527890	1529938	+
b1457	ydcD		1529922	1530404	+
b4745	yncO		1530319	1530504	-
b1459	yncI		1530586	1531639	+
b1460	ydcC		1531816	1532952	+
b1461	pptA		1533052	1533285	+
b1462	yddH		1533282	1533851	-
b1463	nhoA		1534024	1534869	+
b1464	yddE		1534965	1535858	-
b1465	narV		1535937	1536617	-
b1466	narW		1536614	1537309	-
b1467	narY		1537309	1538853	-
b1468	narZ		1538850	1542590	-
b1469	narU		1542672	1544060	-
b1470	yddJ		1544384	1544719	-
b1471	yddK		1544758	1545714	-
b1472	yddL		1545738	1546028	-
b1473	yddG		1546288	1547169	-
b1474	fdnG		1547401	1550448	+
b1475	fdnH		1550461	1551345	+
b1476	fdnI		1551338	1551991	+
b1477	yddM		1552398	1552682	-
b1478	adhP		1552828	1553838	-
b1479	maeA		1553972	1555669	-
b1480	sra		1555826	1555963	-
b1481	bdm		1556065	1556280	-
b1482	osmC		1556625	1557056	+
b1483	ddpF		1557112	1558038	-
b1484	ddpD		1558031	1559017	-
b1485	ddpC		1559014	1559910	-
b1486	ddpB		1559907	1560929	-
b1487	ddpA		1560931	1562481	-
b1488	ddpX		1562495	1563076	-
b1489	dosP		1563334	1565733	-
b1490	dosC		1565758	1567140	-
b4746	yddY		1567178	1567219	-
b1491	yddW		1567504	1568823	-
b1492	gadC		1568954	1570489	-
b1493	gadB		1570645	1572045	-
b1494	pqqL		1572407	1575202	-
b1495	yddB		1575247	1577619	-
b1496	yddA		1577657	1579342	-
b4747	yneP		1579545	1579667	+
b1497	ydeM		1579633	1580790	-
b1498	ydeN		1580842	1582524	-
b1499	ydeO		1582926	1583687	-
b1500	safA		1583762	1583959	-
b1501	ydeP		1584207	1586486	-
b1502	ydeQ		1586820	1587734	-
b1503	ydeR		1587793	1588296	-
b1504	ydeS		1588309	1588839	-
b1505	ydeT		1588853	1590001	-
b1506	yneL		1590334	1590536	-
b1507	hipA		1590854	1592176	-
b1508	hipB		1592176	1592442	-
b4696	yneO		1592665	1598086	-
b1511	lsrK		1598617	1600209	-
b1512	lsrR		1600288	1601241	-
b1513	lsrA		1601490	1603025	+
b1514	lsrC		1603019	1604047	+
b1515	lsrD		1604047	1605039	+
b1516	lsrB		1605051	1606073	+
b1517	lsrF		1606100	1606975	+
b1518	lsrG		1606999	1607289	+
b1519	tam		1607346	1608104	+
b1520	yneE		1608108	1609022	-
b1521	uxaB		1609229	1610680	-
b1522	dgcF		1610907	1611854	-
b1523	yneG		1611966	1612325	-
b1524	glsB		1612325	1613251	-
b1525	sad		1613315	1614703	-
b1526	yneJ		1614804	1615685	+
b1527	yneK		1615763	1616878	+
b1528	ydeA		1617028	1618218	+
b1529	marC		1618243	1618908	-
b1530	marR		1619120	1619554	+
b1531	marA		1619574	1619957	+
b1532	marB		1619989	1620207	+
b1533	eamA		1620238	1621137	-
b1534	ydeE		1621332	1622519	+
b4599	mgtS		1622646	1622741	+
b1535	dgcZ		1622960	1623850	-
b1536	ydeI		1624105	1624497	-
b1537	ydeJ		1624773	1625291	+
b1538	dcp		1625335	1627380	-
b1539	ydfG		1627517	1628263	+
b1540	ydfH		1628352	1629038	+
b1541	ydfZ		1629215	1629418	+
b1542	ydfI		1629453	1630913	-
b1543	ydfJ		1631002	1632285	-
b4748	ynfT		1632890	1633003	+
b1544	ydfK		1633072	1633305	+
b1545	pinQ		1633622	1634212	+
b1546	tfaQ		1634310	1634885	-
b1547	ydfN		1634885	1635847	-
b1548	nohA		1635798	1636367	-
b4533	ynfO		1636756	1636989	+
b1549	ydfO		1637047	1637457	+
b1550	gnsB		1637609	1637782	-
b1551	ynfN		1637954	1638109	-
b4749	ynfR		1638188	1638253	-
b4724	ynfQ		1638256	1638444	-
b1552	cspI		1638455	1638667	-
b1553	rzpQ		1639030	1639527	-
b4689	rzoQ		1639080	1639334	-
b1554	rrrQ		1639524	1640057	-
b1555	ydfR		1640054	1640365	-
b1556	essQ		1640370	1640585	-
b1557	cspB		1641339	1641554	-
b1558	cspF		1641855	1642067	+
b4750	ynfS		1642122	1642211	+
b1559	ydfT		1642489	1643241	-
b1560	ydfU		1643255	1644304	-
b1561	rem		1644651	1644902	-
b1562	hokD		1645119	1645274	-
b1563	relE		1645346	1645633	-
b1564	relB		1645633	1645872	-
b1565	ydfV		1645897	1646202	+
b1566	flxA		1646405	1646737	+
b1567	ydfW		1647174	1647323	-
b1568	ydfX		1647346	1647636	-
b1569	dicC		1647620	1647850	-
b1570	dicA		1647934	1648341	+
b1571	ydfA		1648508	1648663	+
b1572	ydfB		1648665	1648793	+
b1573	ydfC		1648823	1649041	+
b1575	dicB		1649609	1649797	+
b1576	ydfD		1649794	1649985	+
b1577	ydfE		1650078	1650998	+
b1578	insD-7		1650881	1651537	+
b1579	intQ		1651512	1652708	+
b4534	ynfP		1652728	1652838	-
b1580	rspB		1652896	1653915	-
b1581	rspA		1653927	1655141	-
b1582	ynfA		1655347	1655673	-
b1583	ynfB		1655808	1656149	+
b1584	speG		1656184	1656744	+
b1585	ynfC		1656747	1657457	-
b1586	ynfD		1657565	1657870	+
b1587	ynfE		1658069	1660495	+
b1588	ynfF		1660556	1662979	+
b1589	ynfG		1662990	1663607	+
b1590	ynfH		1663609	1664463	+
b1591	dmsD		1664506	1665120	+
b1592	clcB		1665315	1666571	+
b1593	ynfK		1666524	1667219	-
b1594	mlc		1667344	1668564	-
b1595	ynfL		1668699	1669592	-
b1596	ynfM		1669699	1670952	+
b1597	asr		1671376	1671684	+
b4601	ydgU		1671777	1671860	+
b1598	ydgD		1671960	1672781	+
b1599	mdtI		1672820	1673149	-
b1600	mdtJ		1673136	1673501	-
b1601	tqsA		1673913	1674947	+
b1602	pntB		1674972	1676360	-
b1603	pntA		1676371	1677903	-
